# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 13 Manufacturer: samsung Model: SM-A715F
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Fix,FLP,36.6351443000,29.0834732000,252.37579345703125,1.2273191,4.925,233.38489,1712570331464,0.086023256,45.0,6804130980373,4.0,0,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,16,0.0,49359,46731352683014,21,31.3,755.743896484375,0.32919999957084656,16,0.0,0.0,1601437440,,,,0,,3,0.48,28.3,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,11,0.0,49359,46731351317896,19,32.9,-777.950927734375,0.25780001282691956,16,0.0,0.0,1602000000,,,,0,,3,0.48,29.9,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,21,0.0,49359,46731353891284,27,29.3,-668.5880737304688,0.8859999775886536,16,0.0,0.0,1604249980,,,,0,,3,0.48,26.3,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,5,0.0,81935,122349353271605,7,42.3,-416.4341735839844,0.04010000079870224,16,0.0,0.0,1575420030,,,,0,,1,2.14,39.3,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,11,0.0,81935,122349351053235,13,36.7,598.3681640625,0.04169999808073044,16,0.0,0.0,1575420030,,,,0,,1,2.14,33.7,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,12,0.0,81935,122349357556112,13,36.4,431.8772888183594,0.050700001418590546,16,0.0,0.0,1575420030,,,,0,,1,2.14,33.4,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,18,0.0,81935,122349354016593,16,34.0,-628.60791015625,0.047700002789497375,16,0.0,0.0,1575420030,,,,0,,1,2.14,31.0,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,20,0.0,81935,122349353449836,9,40.9,-11.774088859558105,0.04110000282526016,16,0.0,0.0,1575420030,,,,0,,1,2.14,37.9,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,25,0.0,81935,122349363550983,14,35.4,145.6058349609375,0.030300002545118332,16,0.0,0.0,1575420030,,,,0,,1,2.14,32.4,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,26,0.0,81935,122349347464449,13,36.2,-636.6919555664062,0.0357000008225441,16,0.0,0.0,1575420030,,,,0,,1,2.14,33.2,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,28,0.0,81935,122349357486328,13,36.0,-100.99079132080078,0.050700001418590546,16,0.0,0.0,1575420030,,,,0,,1,2.14,33.0,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,29,0.0,81935,122349361285369,21,31.0,-78.02040100097656,0.578000009059906,16,0.0,0.0,1575420030,,,,0,,1,2.14,28.0,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,31,0.0,81935,122349352697759,14,35.6,-397.92431640625,0.043800003826618195,16,0.0,0.0,1575420030,,,,0,,1,2.14,32.6,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,5,0.0,16399,122335302904189,21,34.3,-6.538944244384766,7.3510003089904785,16,0.0,0.0,1561097980,,,,0,,5,1.87,28.299999999999997,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,8,0.0,16399,122335303604106,13,36.4,-130.5371551513672,0.02970000170171261,16,0.0,0.0,1561097980,,,,0,,5,1.87,30.4,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,13,0.0,16399,122335304704450,8,41.6,-192.7525177001953,0.0272000003606081,16,0.0,0.0,1561097980,,,,0,,5,1.87,35.6,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,27,0.0,16399,122335356400621,13,36.5,321.5674743652344,0.04919999837875366,16,0.0,0.0,1561097980,,,,0,,5,1.87,30.5,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,29,0.0,16399,122335344412636,24,30.7,-521.2047729492188,0.5024999976158142,16,0.0,0.0,1561097980,,,,0,,5,1.87,24.7,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,30,0.0,16399,122335357182046,8,41.0,-181.81129455566406,0.04670000448822975,16,0.0,0.0,1561097980,,,,0,,5,1.87,35.0,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,2,0.0,89103,122349346891501,13,36.6,-391.12957763671875,0.05220000445842743,16,0.0,0.0,1575420030,,,,0,,6,2.21,30.6,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,8,0.0,89103,122349334522992,19,32.0,327.46807861328125,0.06830000132322311,16,0.0,0.0,1575420030,,,,0,,6,2.21,26.0,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,10,0.0,89103,122349346747637,16,34.8,363.83428955078125,0.053700003772974014,16,0.0,0.0,1575420030,,,,0,,6,2.21,28.799999999999997,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,24,0.0,89103,122349343303336,16,34.0,383.6767883300781,0.0552000030875206,16,0.0,0.0,1575420030,,,,0,,6,2.21,28.0,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,25,0.0,89103,122349352813667,24,30.6,-3.9295642375946045,0.6554999947547913,16,0.0,0.0,1575420030,,,,0,,6,2.21,24.6,,,,,,
Raw,1712570331430,7743794000000,18,,-1396597805636662623,0.45881080627441406,32.25466934964061,-7.833292353852814,10.672213316144907,245,36,0.0,89103,122349349227172,8,41.0,-402.2843933105469,0.04670000448822975,16,0.0,0.0,1575420030,,,,0,,6,2.21,35.0,,,,,,
Fix,GPS,36.6351479300,29.0834784400,251.24102783203125,0.47,3.7900925,1.8,1712570332000,1.1610771,78.28101,6805146744175,3.0,0,,,
Fix,FLP,36.6351476000,29.0834775000,251.24102783203125,0.46201405,3.925,0.92133397,1712570332479,1.1610771,78.28101,6805146744175,3.0,0,,,
Status,1712570332000,37,0,1,5,1575420030,43.00,108.0,24.0,1,1,1,38.0
Status,1712570332000,37,1,1,11,1575420030,30.60,42.0,20.0,1,1,1,25.6
Status,1712570332000,37,2,1,12,1575420030,41.20,109.0,42.0,1,1,1,36.2
Status,1712570332000,37,3,1,18,1575420030,39.70,203.0,30.0,1,1,1,34.7
Status,1712570332000,37,4,1,20,1575420030,38.90,71.0,25.0,1,1,1,33.9
Status,1712570332000,37,5,1,25,1575420030,39.20,91.0,74.0,1,1,1,34.2
Status,1712570332000,37,6,1,26,1575420030,43.10,307.0,4.0,1,1,0,38.1
Status,1712570332000,37,7,1,28,1575420030,40.90,285.0,41.0,1,1,1,35.9
Status,1712570332000,37,8,1,29,1575420030,38.50,313.0,65.0,1,1,1,33.5
Status,1712570332000,37,9,1,31,1575420030,43.30,310.0,22.0,1,1,1,38.3
Status,1712570332000,37,10,3,10,1602000000,33.20,329.0,61.0,1,1,1,28.2
Status,1712570332000,37,11,3,9,1602000000,27.40,143.0,67.0,1,1,0,22.4
Status,1712570332000,37,12,3,16,1602000000,34.20,144.0,11.0,1,1,1,29.2
Status,1712570332000,37,13,3,11,1602000000,40.90,326.0,8.0,1,1,0,35.9
Status,1712570332000,37,14,3,20,1602000000,23.00,257.0,70.0,0,1,0,18.0
Status,1712570332000,37,15,3,19,1602000000,27.30,28.0,35.0,1,1,0,22.3
Status,1712570332000,37,16,3,21,1602000000,40.70,226.0,15.0,1,1,1,35.7
Status,1712570332000,37,17,5,2,1561097980,30.20,112.0,18.0,0,1,0,25.2
Status,1712570332000,37,18,5,5,1561097980,44.60,136.0,36.0,1,1,0,39.6
Status,1712570332000,37,19,5,8,1561097980,39.60,64.0,36.0,1,1,1,34.6
Status,1712570332000,37,20,5,10,1561097980,29.50,87.0,14.0,1,1,0,24.5
Status,1712570332000,37,21,5,13,1561097980,39.20,81.0,40.0,1,1,1,34.2
Status,1712570332000,37,22,5,27,1561097980,44.80,39.0,56.0,1,1,1,39.8
Status,1712570332000,37,23,5,29,1561097980,45.80,239.0,11.0,0,1,0,40.8
Status,1712570332000,37,24,5,30,1561097980,43.90,260.0,63.0,1,1,1,38.9
Status,1712570332000,37,25,5,7,1561097980,0.00,0.0,0.0,0,1,0,0.0
Status,1712570332000,37,26,5,28,1561097980,0.00,50.0,11.0,0,1,0,0.0
Status,1712570332000,37,27,2,136,1575420030,40.70,0.0,0.0,0,0,0,35.7
Status,1712570332000,37,28,6,2,1575420030,38.20,313.0,38.0,1,1,0,33.2
Status,1712570332000,37,29,6,8,1575420030,38.20,281.0,1.0,0,1,1,33.2
Status,1712570332000,37,30,6,10,1575420030,42.80,45.0,41.0,1,1,0,37.8
Status,1712570332000,37,31,6,11,1575420030,27.90,68.0,68.0,0,1,1,22.9
Status,1712570332000,37,32,6,12,1575420030,30.80,39.0,17.0,0,1,0,25.8
Status,1712570332000,37,33,6,24,1575420030,44.00,116.0,28.0,1,1,0,39.0
Status,1712570332000,37,34,6,25,1575420030,40.40,57.0,77.0,1,1,0,35.4
Status,1712570332000,37,35,6,34,1575420030,27.30,209.0,2.0,0,1,0,22.3
Status,1712570332000,37,36,6,36,1575420030,38.30,195.0,50.0,1,1,0,33.3
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,10,0.0,49359,46732364794454,24,30.2,-365.2897644042969,0.8224999904632568,16,0.0,0.0,1598062460,,,,0,,3,0.56,27.2,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,16,0.0,49359,46732352680535,21,31.2,756.5960083007812,0.7944999933242798,16,0.0,0.0,1601437440,,,,0,,3,0.56,28.2,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,11,0.0,49359,46732351320419,12,37.9,-777.446533203125,0.2404000163078308,16,0.0,0.0,1602000000,,,,0,,3,0.56,34.9,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,21,0.0,49359,46732353893531,12,37.7,-665.915771484375,0.5860000252723694,16,0.0,0.0,1604249980,,,,0,,3,0.56,34.7,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,5,0.0,81935,122350353273004,9,40.0,-415.1517639160156,0.04110000282526016,16,0.0,0.0,1575420030,,,,0,,1,2.2,37.0,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,11,0.0,81935,122350351051164,35,27.6,599.41552734375,0.8029999732971191,16,0.0,0.0,1575420030,,,,0,,1,2.2,24.6,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,12,0.0,81935,122350357554671,11,38.2,433.1319885253906,0.04840000346302986,16,0.0,0.0,1575420030,,,,0,,1,2.2,35.2,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,18,0.0,81935,122350354018690,13,36.7,-627.0653686523438,0.04619999974966049,16,0.0,0.0,1575420030,,,,0,,1,2.2,33.7,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,20,0.0,81935,122350353449870,14,35.9,-10.540245056152344,0.04530000314116478,16,0.0,0.0,1575420030,,,,0,,1,2.2,32.9,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,25,0.0,81935,122350363550528,13,36.2,147.08375549316406,0.02970000170171261,16,0.0,0.0,1575420030,,,,0,,1,2.2,33.2,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,26,0.0,81935,122350347466543,9,40.1,-635.5180053710938,0.032099999487400055,16,0.0,0.0,1575420030,,,,0,,1,2.2,37.1,,,,,,
Raw,1712570332430,7744794000000,18,,-1396597805636662633,0.17700958251953125,35.21393955452368,-11.85249847703216,15.990345878597267,245,28,0.0,81935,122350357486664,12,37.9,-99.45661163330078,0.049400001764297485,16,0.0,0.0,1575420030,,,,0,,1,2.2,34.9,,,,,,
